Destination Port, Total Fwd Packets, Total Backward Packets, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Mean, Fwd Packet Length Std, Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Fwd Header Length, Bwd Header Length, Fwd Packets/s, Bwd Packets/s, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1, Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, Label,posicaoOriginal
80.0,5.0,0.0,30.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,7569954.0,1892488.5,3782966.6,7566938.0,0.0,0.0,0.0,0.0,100.0,0.0,0.66,0.0,6.0,6.0,0.0,0.0,7.2,6.0,0.0,100.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,1.0,110447.0
443.0,10.0,7.0,577.0,3781.0,187.0,57.7,72.53,1452.0,0.0,540.14,650.85,1252655.0,139183.89,184782.79,526337.0,485250.0,80875.0,124275.46,245331.0,212.0,152.0,7.98,5.59,1452.0,242.11,460.78,212318.81,256.35,57.7,540.14,212.0,10.0,577.0,7.0,3781.0,8192.0,65535.0,9.0,0.0,214122.0
57064.0,7.0,9.0,11613.0,62.0,4380.0,1659.0,2117.07,20.0,0.0,6.89,5.3,75000000.0,12500000.0,30300000.0,74300000.0,74200000.0,9278235.38,23700000.0,67700000.0,152.0,192.0,0.09,0.12,4380.0,687.12,1543.79,2383274.98,730.06,1659.0,6.89,152.0,7.0,11613.0,9.0,62.0,229.0,256.0,5.0,0.0,52159.0
56191.0,7.0,9.0,12976.0,56.0,2920.0,1853.71,1381.62,20.0,0.0,6.22,5.78,74100000.0,12400000.0,30000000.0,73600000.0,73700000.0,9208618.12,24500000.0,69700000.0,152.0,204.0,0.09,0.12,2920.0,847.47,1254.71,1574301.14,900.44,1853.71,6.22,152.0,7.0,12976.0,9.0,56.0,229.0,256.0,5.0,0.0,51446.0
80.0,4.0,0.0,24.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6944850.0,2314950.0,4006137.51,6940839.0,0.0,0.0,0.0,0.0,80.0,0.0,0.58,0.0,6.0,6.0,0.0,0.0,7.5,6.0,0.0,80.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,1.0,113636.0
80.0,5.0,0.0,30.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,855074.0,213768.5,424873.27,851078.0,0.0,0.0,0.0,0.0,100.0,0.0,5.85,0.0,6.0,6.0,0.0,0.0,7.2,6.0,0.0,100.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,1.0,81819.0
80.0,5.0,0.0,30.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2763927.0,690981.75,1380642.25,2761945.0,0.0,0.0,0.0,0.0,100.0,0.0,1.81,0.0,6.0,6.0,0.0,0.0,7.2,6.0,0.0,100.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,1.0,167787.0
80.0,3.0,4.0,26.0,11601.0,20.0,8.67,10.26,8675.0,0.0,2900.25,4088.04,23444.0,11722.0,15887.28,22956.0,46652.0,15550.67,13315.86,23402.0,72.0,92.0,64.18,85.58,8675.0,1453.38,3091.1,9554872.27,1661.0,8.67,2900.25,72.0,3.0,26.0,4.0,11601.0,8192.0,229.0,2.0,1.0,126627.0
80.0,3.0,4.0,26.0,11601.0,20.0,8.67,10.26,8760.0,0.0,2900.25,4128.32,22995.0,11497.5,15340.68,22345.0,23657.0,7885.67,13199.6,23127.0,72.0,92.0,126.61,168.82,8760.0,1453.38,3113.95,9696700.84,1661.0,8.67,2900.25,72.0,3.0,26.0,4.0,11601.0,8192.0,229.0,2.0,1.0,97226.0
80.0,4.0,0.0,24.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,10300000.0,3447910.67,5971227.28,10300000.0,0.0,0.0,0.0,0.0,80.0,0.0,0.39,0.0,6.0,6.0,0.0,0.0,7.5,6.0,0.0,80.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,1.0,140722.0
