Destination Port, Total Fwd Packets, Total Backward Packets, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Mean, Fwd Packet Length Std, Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Fwd Header Length, Bwd Header Length, Fwd Packets/s, Bwd Packets/s, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1, Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, Label,posicaoOriginal
53.0,1.0,1.0,44.0,60.0,44.0,44.0,0.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,1782.53,1782.53,60.0,49.33,9.24,85.33,74.0,44.0,60.0,32.0,1.0,44.0,1.0,60.0,-1.0,-1.0,0.0,0.0,201561.0
80.0,4.0,0.0,24.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,10400000.0,3477883.67,6023869.48,10400000.0,0.0,0.0,0.0,0.0,80.0,0.0,0.38,0.0,6.0,6.0,0.0,0.0,7.5,6.0,0.0,80.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,1.0,139885.0
80.0,4.0,0.0,24.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1103984.0,367994.67,636837.27,1103351.0,0.0,0.0,0.0,0.0,80.0,0.0,3.62,0.0,6.0,6.0,0.0,0.0,7.5,6.0,0.0,80.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,1.0,110222.0
80.0,4.0,0.0,24.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,10300000.0,3433843.67,5947023.58,10300000.0,0.0,0.0,0.0,0.0,80.0,0.0,0.39,0.0,6.0,6.0,0.0,0.0,7.5,6.0,0.0,80.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,1.0,117965.0
58616.0,7.0,9.0,11613.0,62.0,4380.0,1659.0,2117.07,20.0,0.0,6.89,5.3,78300000.0,13100000.0,31300000.0,76900000.0,76900000.0,9609096.5,24400000.0,69600000.0,152.0,192.0,0.09,0.11,4380.0,687.12,1543.79,2383274.98,730.06,1659.0,6.89,152.0,7.0,11613.0,9.0,62.0,229.0,256.0,5.0,0.0,61333.0
80.0,5.0,0.0,30.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,8808785.0,2202196.25,4403057.19,8806782.0,0.0,0.0,0.0,0.0,100.0,0.0,0.57,0.0,6.0,6.0,0.0,0.0,7.2,6.0,0.0,100.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,1.0,81884.0
20571.0,1.0,5.0,6.0,30.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4600893.0,1150223.25,2296430.2,4594867.0,20.0,100.0,0.22,1.08,6.0,6.0,0.0,0.0,7.0,6.0,6.0,20.0,1.0,6.0,5.0,30.0,229.0,0.0,0.0,0.0,69660.0
443.0,19.0,33.0,3766.0,26546.0,3205.0,198.21,733.73,1413.0,0.0,804.42,596.35,1106010.0,61445.0,88283.99,190652.0,925987.0,28937.09,67259.13,187524.0,616.0,1064.0,17.18,29.83,3205.0,571.92,704.86,496830.22,582.92,198.21,804.42,616.0,19.0,3766.0,33.0,26546.0,29200.0,20272.0,3.0,0.0,174405.0
53.0,2.0,2.0,64.0,258.0,32.0,32.0,0.0,129.0,129.0,129.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,47.0,64.0,64.0,8163.27,8163.27,129.0,70.8,53.13,2822.7,88.5,32.0,129.0,64.0,2.0,64.0,2.0,258.0,-1.0,-1.0,1.0,0.0,173536.0
80.0,3.0,1.0,12.0,0.0,6.0,4.0,3.46,0.0,0.0,0.0,0.0,5172829.0,2586414.5,3611647.59,5140235.0,0.0,0.0,0.0,0.0,72.0,32.0,0.58,0.19,6.0,2.4,3.29,10.8,3.0,4.0,0.0,72.0,3.0,12.0,1.0,0.0,8192.0,29200.0,2.0,0.0,210403.0
