Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std, Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Fwd Header Length, Bwd Header Length, Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, URG Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1, Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Active Mean, Active Max, Active Min, Label,posicaoOriginal
80.0,93879198.0,8.0,4.0,56.0,11607.0,20.0,0.0,7.0,5.656854,11595.0,0.0,2901.75,5795.50069,124.234125,0.127824,8534472.545,25400000.0,84700000.0,3.0,93700000.0,13400000.0,31600000.0,84700000.0,3.0,174628.0,58209.33333,100066.4087,173755.0,6.0,172.0,92.0,0.085216,0.042608,0.0,11595.0,897.615385,3214.167532,10300000.0,0.0,0.0,972.416667,7.0,2901.75,172.0,8.0,56.0,4.0,11607.0,256.0,229.0,6.0,20.0,4083.0,4083.0,4083.0,1.0,141719.0
57542.0,422659.0,5.0,2.0,11601.0,26.0,8760.0,0.0,2320.2,3803.229575,20.0,6.0,13.0,9.899495,27509.17406,16.561815,70443.16667,161743.355,400102.0,9.0,422659.0,105664.75,196571.8717,400102.0,9.0,48.0,48.0,0.0,48.0,48.0,124.0,40.0,11.829868,4.731947,0.0,8760.0,1453.375,3113.952607,9696700.839,0.0,0.0,1661.0,2320.2,13.0,124.0,5.0,11601.0,2.0,26.0,8192.0,256.0,3.0,20.0,0.0,0.0,0.0,0.0,146334.0
80.0,520296.0,3.0,4.0,26.0,11607.0,20.0,0.0,8.666667,10.263203,11595.0,0.0,2901.75,5795.50069,22358.42674,13.453879999999998,86716.0,211888.5079,519231.0,5.0,997.0,498.5,634.274783,947.0,50.0,520270.0,173423.3333,299478.6661,519231.0,5.0,72.0,92.0,5.765949,7.687931,0.0,11595.0,1454.125,4097.537534,16800000.0,0.0,1.0,1661.857143,8.666667,2901.75,72.0,3.0,26.0,4.0,11607.0,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,1.0,90237.0
51549.0,82247256.0,5.0,10.0,11607.0,68.0,10220.0,0.0,2321.4,4455.182578,20.0,0.0,6.8,5.006662,141.95002399999996,0.182377,5874804.0,21400000.0,80300000.0,1.0,82200000.0,20600000.0,40800000.0,81700000.0,190.0,81700000.0,9082303.0,26700000.0,80300000.0,1.0,112.0,212.0,0.060792,0.12158499999999997,0.0,10220.0,730.0625,2553.585204,6520797.396000002,1.0,2.0,778.733333,2321.4,6.8,112.0,5.0,11607.0,10.0,68.0,229.0,256.0,3.0,20.0,1442626.0,1442626.0,1442626.0,0.0,111824.0
80.0,72009132.0,8.0,6.0,56.0,11601.0,20.0,0.0,7.0,5.656854,5840.0,0.0,1933.5,2189.772933,161.882246,0.19442,5539164.0,16700000.0,60300000.0,3.0,71000000.0,10100000.0,22500000.0,60300000.0,3.0,1019483.0,203896.6,452662.5172,1013633.0,49.0,172.0,132.0,0.111097,0.08332300000000001,0.0,5840.0,777.533333,1633.102694,2667024.41,0.0,0.0,833.071429,7.0,1933.5,172.0,8.0,56.0,6.0,11601.0,256.0,229.0,6.0,20.0,1267.0,1267.0,1267.0,1.0,29313.0
80.0,81640045.0,8.0,5.0,56.0,11601.0,20.0,0.0,7.0,5.656854,7300.0,0.0,2320.2,3022.508098,142.785321,0.159236,6803337.083,20100000.0,69800000.0,0.0,81600000.0,11700000.0,26000000.0,69800000.0,0.0,35282.0,8820.5,15020.14959,31211.0,168.0,172.0,112.0,0.097991,0.061244000000000014,0.0,7300.0,833.071429,2033.250541,4134107.764,0.0,0.0,897.153846,7.0,2320.2,172.0,8.0,56.0,5.0,11601.0,256.0,229.0,6.0,20.0,2.0,2.0,2.0,1.0,98190.0
443.0,945655.0,25.0,32.0,848.0,57728.0,394.0,0.0,33.92,87.537573,4380.0,0.0,1804.0,1054.326784,61942.251670000005,60.275681999999996,16886.69643,51245.13197,215271.0,0.0,945508.0,39396.16667,75929.26643999999,216034.0,1.0,921692.0,29732.0,92598.14126,436120.0,49.0,512.0,652.0,26.436703,33.838978999999995,0.0,4380.0,1009.931034,1182.148043,1397473.995,0.0,1.0,1027.649123,33.92,1804.0,512.0,25.0,848.0,32.0,57728.0,8192.0,62.0,24.0,20.0,0.0,0.0,0.0,0.0,21876.0
53.0,203.0,2.0,2.0,66.0,164.0,33.0,33.0,33.0,0.0,82.0,82.0,82.0,0.0,1133004.926,19704.4335,67.666667,115.470054,201.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,64.0,64.0,9852.216749,9852.216749,33.0,82.0,52.6,26.838405,720.3,0.0,1.0,65.75,33.0,82.0,64.0,2.0,66.0,2.0,164.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,102959.0
80.0,440383.0,3.0,4.0,684.0,421.0,684.0,0.0,228.0,394.907584,421.0,0.0,105.25,210.5,2509.17951,15.895254999999999,73397.16667,113175.5046,219745.0,49.0,219710.0,109855.0,154898.8115,219385.0,325.0,221117.0,73705.66667,126858.9667,220189.0,49.0,108.0,136.0,6.812252,9.083003,0.0,684.0,138.125,265.240827,70352.69643,0.0,1.0,157.85714299999995,228.0,105.25,108.0,3.0,684.0,4.0,421.0,65535.0,5064.0,1.0,32.0,0.0,0.0,0.0,0.0,217789.0
53.0,212.0,2.0,2.0,68.0,428.0,34.0,34.0,34.0,0.0,214.0,214.0,214.0,0.0,2339622.642,18867.92453,70.666667,82.099533,162.0,3.0,3.0,3.0,0.0,3.0,3.0,47.0,47.0,0.0,47.0,47.0,64.0,64.0,9433.962264,9433.962264,34.0,214.0,106.0,98.59006,9720.0,0.0,1.0,132.5,34.0,214.0,64.0,2.0,68.0,2.0,428.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,214067.0
80.0,70937611.0,8.0,6.0,56.0,11601.0,20.0,0.0,7.0,5.656854,4380.0,0.0,1933.5,1998.0254,164.327496,0.197357,5456739.307999998,17600000.0,63800000.0,0.0,70800000.0,10100000.0,23800000.0,63800000.0,0.0,172503.0,34500.6,65607.69652,150720.0,138.0,172.0,132.0,0.112775,0.08458099999999999,0.0,4380.0,777.533333,1542.802222,2380238.695,0.0,0.0,833.071429,7.0,1933.5,172.0,8.0,56.0,6.0,11601.0,256.0,229.0,6.0,20.0,1271.0,1271.0,1271.0,1.0,29976.0
